Ecuador,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,-0.272,-0.25,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,-0.11199999999999999,-0.18,,,,
59,1859,-0.061999999999999944,-0.17,,,,
60,1860,-0.30199999999999994,-0.15,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,-0.18199999999999994,-0.11,,,,
64,1864,-0.20199999999999996,-0.1,,,,
65,1865,-0.061999999999999944,-0.09,,,,
66,1866,-0.132,-0.08,,,,
67,1867,0.16800000000000004,-0.07,,,,
68,1868,-0.0020000000000000018,-0.06,,,,
69,1869,0.488,-0.04,,,,
70,1870,-0.08199999999999996,-0.03,,,,
71,1871,-0.272,-0.02,,,,
72,1872,0.008000000000000007,-0.02,,,,
73,1873,0.008000000000000007,-0.01,,,,
74,1874,,,,,,
75,1875,-0.29200000000000004,-0.03,,,,
76,1876,0.028000000000000025,-0.05,,,,
77,1877,0.398,-0.06,,,,
78,1878,0.888,-0.08,,,,
79,1879,-0.01200000000000001,-0.1,,,,
80,1880,,,,,,
81,1881,0.14800000000000002,-0.12,,,,
82,1882,-0.19199999999999995,-0.14,,,,
83,1883,-0.45199999999999996,-0.15,,,,
84,1884,-0.43199999999999994,-0.17,,,,
85,1885,,,,,,
86,1886,-0.17199999999999993,-0.22,,,,
87,1887,-0.352,-0.22,,,,
88,1888,-0.21199999999999997,-0.22,,,,
89,1889,0.28800000000000003,-0.2,,,,
90,1890,-0.482,-0.18,,,,
91,1891,-0.02200000000000002,-0.14,,,,
92,1892,-0.272,-0.11,,,,
93,1893,-0.542,-0.07,,,,
94,1894,-0.16200000000000003,-0.04,,,,
95,1895,0.198,-0.0,,,,
96,1896,0.268,0.03,,,,
97,1897,0.268,0.06,,,,
98,1898,-0.15200000000000002,0.08,,,,
99,1899,0.178,0.1,,,,
100,1900,0.608,0.11,,,,
101,1901,0.07800000000000001,0.11,,,,
102,1902,0.128,0.09,,,,
103,1903,0.07800000000000001,0.06,,,,
104,1904,-0.23199999999999998,0.03,,,,
105,1905,0.278,0.0,,,,
106,1906,0.198,-0.02,,,,
107,1907,-0.19199999999999995,-0.02,,,,
108,1908,-0.22199999999999998,-0.02,,,,
109,1909,-0.30199999999999994,-0.01,,,,
110,1910,-0.5920000000000001,0.0,,,,
111,1911,-0.0020000000000000018,0.01,,,,
112,1912,0.358,0.02,,,,
113,1913,-0.01200000000000001,0.04,,,,
114,1914,0.548,0.06,,,,
115,1915,0.558,0.09,,,,
116,1916,-0.30199999999999994,0.12,,,,
117,1917,-0.6319999999999999,0.14,,,,
118,1918,-0.061999999999999944,0.15,,,,
119,1919,0.358,0.15,,,,
120,1920,0.248,0.16,,,,
121,1921,0.057999999999999996,0.16,,,,
122,1922,0.238,0.18,,,,
123,1923,0.22800000000000004,0.2,,,,
124,1924,0.09800000000000003,0.22,,,,
125,1925,0.09800000000000003,0.24,,,,
126,1926,0.5680000000000001,0.24,,,,
127,1927,0.21800000000000003,0.25,,,,
128,1928,0.358,0.24,,,,
129,1929,0.07800000000000001,0.24,,,,
130,1930,0.388,0.23,,,,
131,1931,0.488,0.23,,,,
132,1932,0.278,0.22,,,,
133,1933,-0.16200000000000003,0.23,,,,
134,1934,0.07800000000000001,0.24,,,,
135,1935,-0.0020000000000000018,0.26,,,,
136,1936,0.28800000000000003,0.29,,,,
137,1937,0.338,0.31,,,,
138,1938,-0.0020000000000000018,0.34,,,,
139,1939,0.528,0.38,,,,
140,1940,0.698,0.42,,,,
141,1941,1.058,0.45,,,,
142,1942,0.498,0.49,,,,
