Fiji,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,0.2763636363636363,0.24,,,,
68,1868,,,,,,
69,1869,-0.023636363636363678,0.2,,,,
70,1870,,,,,,
71,1871,0.4663636363636363,0.16,,,,
72,1872,0.24636363636363628,0.14,,,,
73,1873,0.05636363636363628,0.12,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,,,,,,
83,1883,-0.08363636363636373,-0.09,,,,
84,1884,-0.4136363636363637,-0.12,,,,
85,1885,-0.4436363636363637,-0.18,,,,
86,1886,-0.11363636363636365,-0.15,,,,
87,1887,0.006363636363636349,-0.1,,,,
88,1888,,,,,,
89,1889,,,,,,
90,1890,0.026363636363636256,0.05,,,,
91,1891,-0.033636363636363686,0.1,,,,
92,1892,0.016363636363636247,0.15,,,,
93,1893,0.40636363636363626,0.19,,,,
94,1894,0.3963636363636363,0.22,,,,
95,1895,0.2663636363636363,0.24,,,,
96,1896,0.3163636363636363,0.25,,,,
97,1897,0.5363636363636363,0.24,,,,
98,1898,0.6563636363636363,0.24,,,,
99,1899,0.2863636363636363,0.22,,,,
100,1900,0.1263636363636363,0.19,,,,
101,1901,0.17636363636363628,0.16,,,,
102,1902,-0.36363636363636365,0.14,,,,
103,1903,0.06636363636363629,0.12,,,,
104,1904,-0.36363636363636365,0.1,,,,
105,1905,-0.0036363636363636598,0.1,,,,
106,1906,0.026363636363636256,0.1,,,,
107,1907,0.17636363636363628,0.1,,,,
108,1908,0.2863636363636363,0.11,,,,
109,1909,-0.49363636363636376,0.12,,,,
110,1910,0.4563636363636363,0.14,,,,
111,1911,0.23636363636363628,0.16,,,,
112,1912,0.08636363636363631,0.17,,,,
113,1913,-0.043636363636363695,0.18,,,,
114,1914,-0.033636363636363686,0.17,,,,
115,1915,0.3863636363636363,0.16,,,,
116,1916,0.4463636363636363,0.15,,,,
117,1917,0.16636363636363632,0.15,,,,
118,1918,0.1463636363636363,0.15,,,,
119,1919,0.10636363636363633,0.15,,,,
120,1920,-0.053636363636363704,0.15,,,,
121,1921,0.2763636363636363,0.16,,,,
122,1922,0.0763636363636363,0.17,,,,
123,1923,-0.19363636363636372,0.18,,,,
124,1924,0.3463636363636363,0.2,,,,
125,1925,0.1463636363636363,0.21,,,,
126,1926,0.2163636363636363,0.23,,,,
127,1927,0.9163636363636363,0.24,,,,
128,1928,0.41636363636363627,0.26,,,,
129,1929,0.6763636363636363,0.28,,,,
130,1930,-0.11363636363636365,0.3,,,,
131,1931,0.17636363636363628,0.31,,,,
132,1932,0.41636363636363627,0.33,,,,
133,1933,0.2663636363636363,0.34,,,,
134,1934,0.1863636363636363,0.34,,,,
135,1935,0.4263636363636363,0.35,,,,
136,1936,0.4563636363636363,0.36,,,,
137,1937,0.5063636363636363,0.37,,,,
138,1938,0.5063636363636363,0.38,,,,
139,1939,-0.08363636363636373,0.39,,,,
140,1940,0.2563636363636363,0.39,,,,
141,1941,0.6063636363636363,0.41,,,,
142,1942,0.3563636363636363,0.42,,,,
143,1943,0.40636363636363626,0.44,,,,
144,1944,0.3063636363636363,0.45,,,,
145,1945,0.3163636363636363,0.47,,,,
146,1946,0.5363636363636363,0.5,,,,
