Gambia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.12500000000000006,-0.1,,,,
50,1850,-0.10500000000000004,-0.09,,,,
51,1851,0.024999999999999967,-0.08,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,0.24499999999999997,-0.03,,,,
59,1859,,,,,,
60,1860,-0.7749999999999999,-0.01,,,,
61,1861,,,,,,
62,1862,-0.605,-0.0,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,0.29499999999999993,0.0,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,-0.07500000000000001,0.03,,,,
69,1869,0.32499999999999996,0.04,,,,
70,1870,0.33499999999999996,0.06,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,-0.25500000000000006,0.14,,,,
75,1875,-0.335,0.14,,,,
76,1876,0.285,0.13,,,,
77,1877,0.17499999999999996,0.13,,,,
78,1878,0.42499999999999993,0.12,,,,
79,1879,0.034999999999999976,0.11,,,,
80,1880,0.14499999999999996,0.11,,,,
81,1881,0.44499999999999995,0.1,,,,
82,1882,0.355,0.1,,,,
83,1883,,,,,,
84,1884,-0.025000000000000022,0.06,,,,
85,1885,-0.35500000000000004,0.05,,,,
86,1886,-0.11500000000000005,0.04,,,,
87,1887,-0.03500000000000003,0.05,,,,
88,1888,0.17499999999999996,0.05,,,,
89,1889,-0.21500000000000002,0.07,,,,
90,1890,-0.20500000000000002,0.1,,,,
91,1891,0.37499999999999994,0.14,,,,
92,1892,0.675,0.18,,,,
93,1893,0.715,0.22,,,,
94,1894,-0.05500000000000005,0.25,,,,
95,1895,-0.13500000000000006,0.28,,,,
96,1896,0.42499999999999993,0.31,,,,
97,1897,0.625,0.31,,,,
98,1898,-0.00500000000000006,0.3,,,,
99,1899,0.695,0.28,,,,
100,1900,0.14499999999999996,0.26,,,,
101,1901,0.475,0.23,,,,
102,1902,0.605,0.2,,,,
103,1903,0.09499999999999997,0.17,,,,
104,1904,-0.34500000000000003,0.14,,,,
105,1905,-0.015000000000000013,0.11,,,,
106,1906,0.285,0.1,,,,
107,1907,-0.22500000000000003,0.09,,,,
108,1908,-0.08500000000000002,0.1,,,,
109,1909,-0.10500000000000004,0.11,,,,
110,1910,0.20499999999999996,0.12,,,,
111,1911,0.17499999999999996,0.12,,,,
112,1912,0.37499999999999994,0.12,,,,
113,1913,0.575,0.12,,,,
114,1914,0.16499999999999995,0.12,,,,
115,1915,0.32499999999999996,0.12,,,,
116,1916,-0.05500000000000005,0.12,,,,
117,1917,-0.35500000000000004,0.12,,,,
118,1918,-0.23500000000000004,0.12,,,,
119,1919,0.13499999999999995,0.12,,,,
120,1920,-0.00500000000000006,0.13,,,,
121,1921,0.24499999999999997,0.15,,,,
122,1922,0.19499999999999995,0.16,,,,
123,1923,0.39499999999999996,0.18,,,,
124,1924,0.23499999999999996,0.2,,,,
125,1925,0.26499999999999996,0.21,,,,
126,1926,0.7949999999999999,0.22,,,,
127,1927,0.19499999999999995,0.23,,,,
128,1928,0.004999999999999949,0.23,,,,
129,1929,-0.08500000000000002,0.23,,,,
130,1930,-0.175,0.22,,,,
131,1931,0.5549999999999999,0.22,,,,
132,1932,0.365,0.22,,,,
133,1933,0.415,0.24,,,,
134,1934,0.004999999999999949,0.26,,,,
135,1935,0.17499999999999996,0.29,,,,
136,1936,0.39499999999999996,0.31,,,,
137,1937,0.37499999999999994,0.33,,,,
138,1938,0.37499999999999994,0.34,,,,
139,1939,0.15499999999999997,0.36,,,,
140,1940,0.39499999999999996,0.37,,,,
141,1941,0.715,0.38,,,,
142,1942,0.39499999999999996,0.39,,,,
