Gibraltar,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.24322580645161296,0.39,,,,
1,1801,0.14322580645161295,0.3,,,,
2,1802,0.27322580645161293,0.2,,,,
3,1803,0.08322580645161293,0.11,,,,
4,1804,0.663225806451613,0.02,,,,
5,1805,0.053225806451612956,-0.07,,,,
6,1806,0.14322580645161295,-0.16,,,,
7,1807,-0.1867741935483871,-0.25,,,,
8,1808,-0.816774193548387,-0.34,,,,
9,1809,-0.6867741935483871,-0.43,,,,
10,1810,-1.046774193548387,-0.5,,,,
11,1811,-0.6967741935483871,-0.55,,,,
12,1812,-0.5367741935483871,-0.58,,,,
13,1813,-0.6567741935483871,-0.59,,,,
14,1814,-0.9667741935483871,-0.58,,,,
15,1815,-0.816774193548387,-0.55,,,,
16,1816,-1.056774193548387,-0.5,,,,
17,1817,0.02322580645161293,-0.45,,,,
18,1818,0.17322580645161295,-0.4,,,,
19,1819,-0.4367741935483871,-0.35,,,,
20,1820,-0.49677419354838703,-0.3,,,,
21,1821,0.17322580645161295,-0.25,,,,
22,1822,-0.07677419354838705,-0.21,,,,
23,1823,-0.25677419354838704,-0.18,,,,
24,1824,0.01322580645161292,-0.16,,,,
25,1825,-0.06677419354838704,-0.15,,,,
26,1826,-0.16677419354838707,-0.15,,,,
27,1827,-0.3067741935483871,-0.15,,,,
28,1828,-0.02677419354838706,-0.16,,,,
29,1829,-0.466774193548387,-0.17,,,,
30,1830,-0.02677419354838706,-0.18,,,,
31,1831,0.29322580645161295,-0.2,,,,
32,1832,-0.39677419354838706,-0.21,,,,
33,1833,-0.4167741935483871,-0.22,,,,
34,1834,0.4432258064516129,-0.23,,,,
35,1835,-0.516774193548387,-0.23,,,,
36,1836,-0.2967741935483871,-0.24,,,,
37,1837,-0.27677419354838706,-0.25,,,,
38,1838,-0.11677419354838703,-0.26,,,,
39,1839,-0.37677419354838704,-0.26,,,,
40,1840,-0.2967741935483871,-0.26,,,,
41,1841,-0.3167741935483871,-0.26,,,,
42,1842,-0.15677419354838706,-0.26,,,,
43,1843,-0.08677419354838706,-0.25,,,,
44,1844,-0.4267741935483871,-0.23,,,,
45,1845,-0.7267741935483871,-0.22,,,,
46,1846,0.27322580645161293,-0.21,,,,
47,1847,-0.04677419354838708,-0.21,,,,
48,1848,-0.606774193548387,-0.21,,,,
49,1849,-0.17677419354838708,-0.21,,,,
50,1850,-0.13677419354838705,-0.21,,,,
51,1851,0.08322580645161293,-0.21,,,,
52,1852,0.20322580645161295,-0.19,,,,
53,1853,-0.516774193548387,-0.18,,,,
54,1854,-0.4267741935483871,-0.15,,,,
55,1855,-0.6667741935483871,-0.13,,,,
