Grenada,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,-0.1435483870967742,-0.0,,,,
25,1825,0.2364516129032258,-0.01,,,,
26,1826,-0.08354838709677415,-0.01,,,,
27,1827,0.11645161290322581,-0.01,,,,
28,1828,-0.07354838709677414,-0.01,,,,
29,1829,-0.08354838709677415,-0.01,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,0.3464516129032258,-0.01,,,,
47,1847,-0.16354838709677422,-0.02,,,,
48,1848,-0.1335483870967742,-0.03,,,,
49,1849,-0.19354838709677413,-0.04,,,,
50,1850,-0.06354838709677413,-0.05,,,,
51,1851,-0.06354838709677413,-0.06,,,,
52,1852,-0.10354838709677416,-0.08,,,,
53,1853,0.09645161290322585,-0.09,,,,
54,1854,-0.07354838709677414,-0.1,,,,
55,1855,0.06645161290322582,-0.11,,,,
56,1856,0.03645161290322585,-0.12,,,,
57,1857,-0.4335483870967741,-0.13,,,,
58,1858,-0.32354838709677414,-0.13,,,,
59,1859,-0.31354838709677413,-0.14,,,,
60,1860,-0.07354838709677414,-0.13,,,,
61,1861,-0.05354838709677423,-0.12,,,,
62,1862,-0.22354838709677416,-0.09,,,,
63,1863,-0.2735483870967742,-0.06,,,,
64,1864,-0.06354838709677413,-0.02,,,,
65,1865,0.09645161290322585,0.02,,,,
66,1866,0.1064516129032258,0.05,,,,
67,1867,0.19645161290322583,0.08,,,,
68,1868,0.20645161290322583,0.1,,,,
69,1869,0.3764516129032258,0.12,,,,
70,1870,-0.11354838709677417,0.13,,,,
71,1871,0.2264516129032258,0.14,,,,
72,1872,0.29645161290322586,0.13,,,,
73,1873,0.11645161290322581,0.12,,,,
74,1874,0.06645161290322582,0.1,,,,
75,1875,-0.1335483870967742,0.08,,,,
76,1876,0.0464516129032258,0.05,,,,
77,1877,0.5064516129032258,0.02,,,,
78,1878,0.5964516129032258,-0.0,,,,
79,1879,-0.19354838709677413,-0.03,,,,
80,1880,-0.5335483870967742,-0.05,,,,
81,1881,0.13645161290322583,-0.07,,,,
82,1882,-0.09354838709677415,-0.09,,,,
83,1883,-0.22354838709677416,-0.11,,,,
84,1884,-0.31354838709677413,-0.11,,,,
85,1885,0.016451612903225832,-0.11,,,,
86,1886,-0.21354838709677415,-0.11,,,,
87,1887,-0.2635483870967742,-0.11,,,,
88,1888,0.18645161290322582,-0.11,,,,
89,1889,0.5464516129032259,-0.1,,,,
90,1890,-0.6335483870967741,-0.09,,,,
91,1891,0.18645161290322582,-0.07,,,,
92,1892,-0.11354838709677417,-0.05,,,,
93,1893,-0.20354838709677414,-0.03,,,,
94,1894,-0.2635483870967742,-0.01,,,,
95,1895,-0.013548387096774195,0.01,,,,
96,1896,0.0464516129032258,0.05,,,,
97,1897,0.2564516129032258,0.09,,,,
98,1898,0.03645161290322585,0.12,,,,
99,1899,0.15645161290322585,0.14,,,,
100,1900,0.3164516129032258,0.16,,,,
101,1901,0.3364516129032258,0.16,,,,
102,1902,0.3364516129032258,0.15,,,,
103,1903,0.4364516129032258,0.13,,,,
104,1904,-0.1535483870967742,0.1,,,,
105,1905,0.15645161290322585,0.07,,,,
106,1906,0.016451612903225832,0.03,,,,
107,1907,-0.09354838709677415,-0.01,,,,
108,1908,-0.10354838709677416,-0.05,,,,
109,1909,-0.1535483870967742,-0.08,,,,
110,1910,-0.23354838709677417,-0.11,,,,
111,1911,-0.08354838709677415,-0.13,,,,
112,1912,-0.11354838709677417,-0.15,,,,
113,1913,-0.44354838709677413,-0.16,,,,
114,1914,-0.023548387096774204,-0.17,,,,
115,1915,0.1764516129032258,-0.18,,,,
116,1916,-0.21354838709677415,-0.19,,,,
117,1917,-0.5335483870967742,-0.19,,,,
118,1918,-0.33354838709677415,-0.19,,,,
119,1919,0.1064516129032258,-0.19,,,,
120,1920,-0.24354838709677418,-0.17,,,,
121,1921,-0.24354838709677418,-0.15,,,,
122,1922,-0.31354838709677413,-0.11,,,,
123,1923,-0.2735483870967742,-0.07,,,,
