Guinea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.12157894736842095,-0.1,,,,
50,1850,-0.09157894736842104,-0.1,,,,
51,1851,-0.04157894736842099,-0.1,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,-0.281578947368421,-0.11,,,,
58,1858,0.138421052631579,-0.11,,,,
59,1859,0.488421052631579,-0.11,,,,
60,1860,-0.5015789473684209,-0.11,,,,
61,1861,,,,,,
62,1862,-0.581578947368421,-0.11,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,0.228421052631579,-0.12,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,-0.20157894736842102,-0.02,,,,
75,1875,-0.46157894736842103,-0.0,,,,
76,1876,-0.23157894736842105,-0.0,,,,
77,1877,0.15842105263157902,0.02,,,,
78,1878,0.398421052631579,0.04,,,,
79,1879,-0.031578947368420984,0.07,,,,
80,1880,0.428421052631579,0.09,,,,
81,1881,0.538421052631579,0.11,,,,
82,1882,0.318421052631579,0.14,,,,
83,1883,,,,,,
84,1884,0.248421052631579,0.15,,,,
85,1885,-0.22157894736842104,0.13,,,,
86,1886,0.08842105263157901,0.12,,,,
87,1887,-0.031578947368420984,0.1,,,,
88,1888,0.16842105263157897,0.1,,,,
89,1889,-0.10157894736842105,0.1,,,,
90,1890,-0.21157894736842103,0.11,,,,
91,1891,0.248421052631579,0.13,,,,
92,1892,0.338421052631579,0.15,,,,
93,1893,0.318421052631579,0.17,,,,
94,1894,0.09842105263157902,0.2,,,,
95,1895,0.248421052631579,0.22,,,,
96,1896,0.228421052631579,0.24,,,,
97,1897,0.328421052631579,0.24,,,,
98,1898,0.068421052631579,0.22,,,,
99,1899,0.758421052631579,0.2,,,,
100,1900,0.138421052631579,0.17,,,,
101,1901,0.508421052631579,0.14,,,,
102,1902,0.388421052631579,0.12,,,,
103,1903,-0.11157894736842106,0.1,,,,
104,1904,-0.401578947368421,0.08,,,,
105,1905,-0.10157894736842105,0.06,,,,
106,1906,0.08842105263157901,0.04,,,,
107,1907,-0.161578947368421,0.04,,,,
108,1908,-0.0015789473684210131,0.05,,,,
109,1909,-0.0015789473684210131,0.06,,,,
110,1910,0.418421052631579,0.08,,,,
111,1911,-0.20157894736842102,0.09,,,,
112,1912,0.34842105263157896,0.09,,,,
113,1913,0.338421052631579,0.1,,,,
114,1914,0.218421052631579,0.1,,,,
115,1915,0.198421052631579,0.11,,,,
116,1916,-0.08157894736842103,0.12,,,,
117,1917,-0.09157894736842104,0.13,,,,
118,1918,-0.14157894736842097,0.14,,,,
119,1919,-0.07157894736842102,0.16,,,,
120,1920,0.248421052631579,0.18,,,,
121,1921,0.278421052631579,0.2,,,,
122,1922,0.34842105263157896,0.22,,,,
123,1923,0.508421052631579,0.25,,,,
124,1924,0.228421052631579,0.27,,,,
125,1925,0.358421052631579,0.29,,,,
126,1926,0.638421052631579,0.29,,,,
127,1927,0.198421052631579,0.29,,,,
128,1928,0.148421052631579,0.28,,,,
129,1929,0.10842105263157897,0.27,,,,
130,1930,0.288421052631579,0.26,,,,
131,1931,0.508421052631579,0.26,,,,
132,1932,0.058421052631578985,0.26,,,,
133,1933,0.248421052631579,0.26,,,,
134,1934,0.278421052631579,0.28,,,,
135,1935,0.228421052631579,0.3,,,,
136,1936,0.208421052631579,0.33,,,,
137,1937,0.368421052631579,0.35,,,,
138,1938,0.288421052631579,0.37,,,,
139,1939,0.358421052631579,0.39,,,,
140,1940,0.768421052631579,0.4,,,,
141,1941,0.928421052631579,0.41,,,,
