Isle of Man,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.11935483870967734,0.13,,,,
1,1801,0.37064516129032266,0.08,,,,
2,1802,-0.019354838709677358,0.03,,,,
3,1803,-0.10935483870967733,-0.02,,,,
4,1804,0.17064516129032267,-0.08,,,,
5,1805,-0.1793548387096774,-0.13,,,,
6,1806,0.17064516129032267,-0.18,,,,
7,1807,-0.6093548387096773,-0.23,,,,
8,1808,-0.37935483870967734,-0.28,,,,
9,1809,-0.4193548387096774,-0.33,,,,
10,1810,-0.5993548387096773,-0.37,,,,
11,1811,0.23064516129032267,-0.39,,,,
12,1812,-0.8793548387096773,-0.39,,,,
13,1813,-0.23935483870967733,-0.37,,,,
14,1814,-1.1793548387096773,-0.34,,,,
15,1815,-0.3493548387096773,-0.3,,,,
16,1816,-1.2893548387096772,-0.26,,,,
17,1817,-0.4293548387096774,-0.2,,,,
18,1818,0.47064516129032263,-0.14,,,,
19,1819,-0.02935483870967731,-0.07,,,,
20,1820,-0.39935483870967736,0.01,,,,
21,1821,0.4006451612903227,0.09,,,,
22,1822,0.7206451612903226,0.17,,,,
23,1823,-0.6593548387096774,0.23,,,,
24,1824,0.18064516129032265,0.27,,,,
25,1825,0.6106451612903226,0.29,,,,
26,1826,0.9406451612903227,0.31,,,,
27,1827,0.20064516129032267,0.32,,,,
28,1828,0.8606451612903226,0.32,,,,
29,1829,-0.8793548387096773,0.29,,,,
30,1830,-0.38935483870967735,0.25,,,,
31,1831,0.6506451612903227,0.19,,,,
32,1832,0.2706451612903227,0.12,,,,
33,1833,0.14064516129032267,0.05,,,,
34,1834,1.1106451612903228,-0.02,,,,
35,1835,0.11064516129032265,-0.07,,,,
36,1836,-0.5193548387096774,-0.11,,,,
37,1837,-0.40935483870967737,-0.15,,,,
38,1838,-1.1193548387096772,-0.18,,,,
39,1839,-0.4793548387096773,-0.21,,,,
40,1840,-0.37935483870967734,-0.23,,,,
41,1841,-0.3493548387096773,-0.23,,,,
42,1842,0.31064516129032266,-0.22,,,,
43,1843,0.07064516129032267,-0.19,,,,
44,1844,-0.26935483870967736,-0.15,,,,
45,1845,-0.5293548387096774,-0.11,,,,
46,1846,1.1606451612903226,-0.08,,,,
47,1847,0.17064516129032267,-0.06,,,,
48,1848,0.020645161290322678,-0.05,,,,
49,1849,-0.02935483870967731,-0.05,,,,
50,1850,-0.07935483870967736,-0.04,,,,
51,1851,-0.04935483870967733,-0.03,,,,
52,1852,0.49064516129032265,-0.02,,,,
53,1853,-0.6593548387096774,-0.0,,,,
54,1854,0.11064516129032265,0.0,,,,
55,1855,-0.9493548387096774,0.01,,,,
56,1856,-0.11935483870967734,0.01,,,,
57,1857,0.9206451612903227,0.01,,,,
58,1858,0.08064516129032268,0.02,,,,
59,1859,0.24064516129032265,0.03,,,,
60,1860,-1.1293548387096775,0.04,,,,
61,1861,0.13064516129032266,0.06,,,,
62,1862,-0.15935483870967737,0.08,,,,
63,1863,0.2906451612903227,0.09,,,,
64,1864,-0.4293548387096774,0.1,,,,
65,1865,0.4006451612903227,0.11,,,,
66,1866,0.12064516129032266,0.11,,,,
67,1867,-0.11935483870967734,0.12,,,,
68,1868,0.9106451612903227,0.13,,,,
69,1869,0.26064516129032267,0.15,,,,
70,1870,-0.07935483870967736,0.16,,,,
71,1871,0.04064516129032264,0.16,,,,
72,1872,0.4006451612903227,0.16,,,,
73,1873,-0.03935483870967732,0.15,,,,
74,1874,0.22064516129032266,0.13,,,,
75,1875,0.3306451612903227,0.11,,,,
76,1876,0.23064516129032267,0.09,,,,
77,1877,-0.11935483870967734,0.06,,,,
78,1878,0.21064516129032265,0.04,,,,
79,1879,-1.4393548387096775,-0.0,,,,
80,1880,-0.019354838709677358,-0.05,,,,
81,1881,-0.7593548387096772,-0.09,,,,
82,1882,0.24064516129032265,-0.13,,,,
83,1883,-0.15935483870967737,-0.17,,,,
84,1884,0.4606451612903227,-0.2,,,,
85,1885,-0.5993548387096773,-0.22,,,,
86,1886,-0.5993548387096773,-0.23,,,,
87,1887,-0.4493548387096773,-0.24,,,,
88,1888,-0.6593548387096774,-0.23,,,,
89,1889,0.06064516129032266,-0.21,,,,
90,1890,0.020645161290322678,-0.19,,,,
91,1891,-0.3293548387096773,-0.14,,,,
92,1892,-0.9493548387096774,-0.09,,,,
93,1893,0.7706451612903227,-0.03,,,,
94,1894,0.11064516129032265,0.02,,,,
95,1895,-0.5093548387096773,0.06,,,,
96,1896,0.2806451612903227,0.08,,,,
97,1897,0.16064516129032266,0.1,,,,
98,1898,0.8206451612903227,0.11,,,,
99,1899,0.48064516129032264,0.12,,,,
100,1900,0.19064516129032266,0.12,,,,
101,1901,0.10064516129032264,0.12,,,,
102,1902,-0.2993548387096774,0.11,,,,
103,1903,-0.03935483870967732,0.1,,,,
104,1904,-0.08935483870967731,0.09,,,,
105,1905,0.17064516129032267,0.08,,,,
106,1906,0.20064516129032267,0.09,,,,
107,1907,-0.2193548387096773,0.1,,,,
108,1908,0.37064516129032266,0.12,,,,
109,1909,-0.39935483870967736,0.14,,,,
110,1910,0.10064516129032264,0.15,,,,
111,1911,0.7606451612903227,0.16,,,,
112,1912,0.13064516129032266,0.16,,,,
113,1913,0.5006451612903227,0.16,,,,
114,1914,0.7306451612903226,0.15,,,,
115,1915,-0.2193548387096773,0.15,,,,
116,1916,0.14064516129032267,0.14,,,,
117,1917,-0.38935483870967735,0.12,,,,
118,1918,0.35064516129032264,0.11,,,,
119,1919,-0.5093548387096773,0.09,,,,
120,1920,0.45064516129032267,0.08,,,,
121,1921,1.2306451612903226,0.08,,,,
122,1922,-0.3493548387096773,0.08,,,,
123,1923,-0.06935483870967735,0.09,,,,
124,1924,0.16064516129032266,0.1,,,,
125,1925,0.030645161290322687,0.12,,,,
126,1926,0.6006451612903226,0.15,,,,
127,1927,0.05064516129032265,0.18,,,,
128,1928,0.26064516129032267,0.22,,,,
129,1929,-0.02935483870967731,0.27,,,,
130,1930,0.15064516129032265,0.31,,,,
131,1931,0.030645161290322687,0.35,,,,
132,1932,0.48064516129032264,0.39,,,,
133,1933,0.9006451612903227,0.41,,,,
134,1934,0.9206451612903227,0.43,,,,
135,1935,0.5206451612903227,0.45,,,,
136,1936,0.3406451612903227,0.47,,,,
137,1937,0.35064516129032264,0.49,,,,
138,1938,0.9706451612903226,0.5,,,,
139,1939,0.6806451612903226,0.51,,,,
