Jordan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,-1.2509677419354839,-1.26,,,,
10,1810,-1.190967741935484,-1.2,,,,
11,1811,-1.390967741935484,-1.14,,,,
12,1812,-1.130967741935484,-1.09,,,,
13,1813,-0.910967741935484,-1.03,,,,
14,1814,-0.630967741935484,-0.98,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,-0.900967741935484,-0.69,,,,
20,1820,-0.660967741935484,-0.63,,,,
21,1821,-0.5609677419354839,-0.58,,,,
22,1822,-0.7909677419354839,-0.54,,,,
23,1823,-0.40096774193548396,-0.5,,,,
24,1824,0.19903225806451608,-0.48,,,,
25,1825,-0.4609677419354839,-0.46,,,,
26,1826,-0.3309677419354839,-0.46,,,,
27,1827,0.4090322580645161,-0.44,,,,
28,1828,-0.42096774193548386,-0.42,,,,
29,1829,-0.4309677419354839,-0.45,,,,
30,1830,-0.07096774193548389,-0.49,,,,
31,1831,-0.7109677419354841,-0.54,,,,
32,1832,-1.350967741935484,-0.6,,,,
33,1833,-0.5109677419354839,-0.66,,,,
34,1834,-0.580967741935484,-0.72,,,,
35,1835,-0.9709677419354841,-0.75,,,,
36,1836,-0.7309677419354839,-0.77,,,,
37,1837,-1.020967741935484,-0.77,,,,
38,1838,-1.080967741935484,-0.76,,,,
39,1839,-0.850967741935484,-0.73,,,,
40,1840,-0.840967741935484,-0.69,,,,
41,1841,-0.630967741935484,-0.64,,,,
42,1842,-0.41096774193548397,-0.58,,,,
43,1843,-0.4409677419354839,-0.51,,,,
44,1844,-0.590967741935484,-0.45,,,,
45,1845,-0.4709677419354839,-0.39,,,,
46,1846,0.20903225806451609,-0.33,,,,
47,1847,-0.18096774193548387,-0.27,,,,
48,1848,-0.30096774193548387,-0.23,,,,
49,1849,-0.12096774193548393,-0.2,,,,
50,1850,-0.680967741935484,-0.18,,,,
51,1851,0.1590322580645161,-0.17,,,,
52,1852,-0.040967741935483915,-0.17,,,,
53,1853,0.4190322580645161,-0.17,,,,
54,1854,-0.4609677419354839,-0.16,,,,
55,1855,0.009032258064516074,-0.15,,,,
56,1856,-0.4909677419354839,-0.15,,,,
57,1857,-0.7209677419354841,-0.16,,,,
58,1858,-0.0009677419354839345,-0.16,,,,
59,1859,0.06903225806451607,-0.14,,,,
60,1860,0.31903225806451607,-0.1,,,,
61,1861,-0.5509677419354839,-0.05,,,,
62,1862,-0.590967741935484,-0.0,,,,
63,1863,-0.28096774193548396,0.04,,,,
64,1864,0.37903225806451607,0.08,,,,
65,1865,0.5390322580645162,0.11,,,,
66,1866,0.3290322580645161,0.13,,,,
67,1867,0.29903225806451605,0.15,,,,
68,1868,0.019032258064516083,0.17,,,,
69,1869,0.549032258064516,0.18,,,,
70,1870,0.11903225806451606,0.19,,,,
71,1871,-0.5709677419354839,0.2,,,,
72,1872,0.12903225806451607,0.21,,,,
73,1873,0.4490322580645161,0.22,,,,
74,1874,-0.19096774193548388,0.22,,,,
75,1875,-1.0109677419354839,0.21,,,,
76,1876,0.31903225806451607,0.19,,,,
77,1877,0.669032258064516,0.16,,,,
78,1878,0.5790322580645161,0.13,,,,
79,1879,0.6090322580645161,0.09,,,,
80,1880,-0.37096774193548393,0.04,,,,
81,1881,0.16903225806451608,-0.01,,,,
82,1882,-0.600967741935484,-0.06,,,,
83,1883,-0.24096774193548393,-0.11,,,,
84,1884,-0.7809677419354839,-0.14,,,,
85,1885,-0.05096774193548392,-0.17,,,,
86,1886,-0.640967741935484,-0.18,,,,
87,1887,-0.11096774193548392,-0.18,,,,
88,1888,-0.0009677419354839345,-0.18,,,,
89,1889,0.1790322580645161,-0.18,,,,
90,1890,-0.13096774193548394,-0.18,,,,
91,1891,-0.040967741935483915,-0.19,,,,
92,1892,0.19903225806451608,-0.2,,,,
93,1893,-0.40096774193548396,-0.21,,,,
94,1894,-0.7609677419354839,-0.21,,,,
95,1895,-0.42096774193548386,-0.2,,,,
96,1896,-0.19096774193548388,-0.19,,,,
97,1897,-0.640967741935484,-0.18,,,,
98,1898,-0.24096774193548393,-0.18,,,,
99,1899,0.019032258064516083,-0.17,,,,
100,1900,0.3390322580645161,-0.17,,,,
101,1901,0.8490322580645161,-0.16,,,,
102,1902,0.43903225806451607,-0.16,,,,
103,1903,-0.3509677419354839,-0.17,,,,
104,1904,-0.3609677419354839,-0.19,,,,
105,1905,-0.41096774193548397,-0.23,,,,
106,1906,-0.0009677419354839345,-0.28,,,,
107,1907,-0.7109677419354841,-0.33,,,,
108,1908,-0.4809677419354839,-0.37,,,,
