Nepal,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.2419230769230768,0.46,,,,
1,1801,,,,,,
2,1802,0.3480769230769232,0.3,,,,
3,1803,0.18807692307692314,0.22,,,,
4,1804,0.3580769230769232,0.14,,,,
5,1805,0.21807692307692317,0.07,,,,
6,1806,0.09807692307692317,-0.01,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.5419230769230768,-0.52,,,,
14,1814,,,,,,
15,1815,-1.061923076923077,-0.76,,,,
16,1816,-1.251923076923077,-0.82,,,,
17,1817,-1.101923076923077,-0.8,,,,
18,1818,-0.6819230769230767,-0.73,,,,
19,1819,-1.1519230769230768,-0.65,,,,
20,1820,-0.9119230769230767,-0.58,,,,
21,1821,-0.16192307692307684,-0.51,,,,
22,1822,-0.05192307692307685,-0.41,,,,
23,1823,-0.30192307692307685,-0.36,,,,
24,1824,0.08807692307692316,-0.26,,,,
25,1825,-0.19192307692307686,-0.21,,,,
26,1826,0.018076923076923157,-0.18,,,,
27,1827,0.22807692307692318,-0.17,,,,
28,1828,-0.29192307692307684,-0.18,,,,
29,1829,-0.42192307692307685,-0.21,,,,
30,1830,0.028076923076923166,-0.24,,,,
31,1831,-0.5719230769230769,-0.28,,,,
32,1832,,,,,,
33,1833,-0.18192307692307685,-0.35,,,,
34,1834,-0.2619230769230768,-0.38,,,,
35,1835,-1.1319230769230768,-0.4,,,,
36,1836,-0.3819230769230768,-0.41,,,,
37,1837,-0.5419230769230768,-0.42,,,,
38,1838,-0.5319230769230768,-0.42,,,,
39,1839,-0.5919230769230769,-0.42,,,,
40,1840,-0.19192307692307686,-0.42,,,,
41,1841,-0.5619230769230769,-0.41,,,,
42,1842,-0.17192307692307685,-0.39,,,,
43,1843,-0.21192307692307688,-0.38,,,,
44,1844,-0.6719230769230767,-0.36,,,,
45,1845,-0.43192307692307685,-0.34,,,,
46,1846,0.038076923076923175,-0.32,,,,
47,1847,-0.31192307692307686,-0.3,,,,
48,1848,-0.5519230769230768,-0.28,,,,
49,1849,-0.5019230769230768,-0.26,,,,
50,1850,-0.05192307692307685,-0.24,,,,
51,1851,-0.1319230769230768,-0.23,,,,
52,1852,-0.3419230769230769,-0.21,,,,
53,1853,0.028076923076923166,-0.21,,,,
54,1854,-0.011923076923076814,-0.2,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,-0.6719230769230767,-0.18,,,,
58,1858,-0.04192307692307684,-0.16,,,,
59,1859,0.07807692307692315,-0.14,,,,
60,1860,-0.3319230769230769,-0.12,,,,
61,1861,-0.4019230769230768,-0.11,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,0.048076923076923184,-0.04,,,,
66,1866,0.1780769230769232,-0.02,,,,
67,1867,0.2580769230769232,0.01,,,,
68,1868,-0.15192307692307683,0.04,,,,
69,1869,-0.021923076923076823,0.06,,,,
70,1870,-0.011923076923076814,0.08,,,,
71,1871,0.038076923076923175,0.09,,,,
72,1872,0.06807692307692315,0.09,,,,
73,1873,0.19807692307692315,0.1,,,,
74,1874,0.2580769230769232,0.11,,,,
75,1875,0.1780769230769232,0.13,,,,
76,1876,0.05807692307692319,0.14,,,,
77,1877,-0.03192307692307683,0.13,,,,
78,1878,0.20807692307692316,0.12,,,,
79,1879,0.3480769230769232,0.09,,,,
80,1880,0.2580769230769232,0.06,,,,
81,1881,0.07807692307692315,0.04,,,,
82,1882,0.08807692307692316,0.01,,,,
83,1883,-0.19192307692307686,-0.0,,,,
84,1884,-0.20192307692307687,-0.02,,,,
85,1885,-0.2619230769230768,-0.03,,,,
86,1886,-0.05192307692307685,-0.03,,,,
87,1887,-0.2519230769230768,-0.03,,,,
88,1888,-0.011923076923076814,-0.02,,,,
89,1889,0.5880769230769232,0.01,,,,
90,1890,-0.0019230769230768052,0.05,,,,
91,1891,-0.15192307692307683,0.1,,,,
92,1892,0.31807692307692315,0.15,,,,
93,1893,-0.8419230769230769,0.19,,,,
94,1894,0.08807692307692316,0.23,,,,
95,1895,0.048076923076923184,0.26,,,,
96,1896,0.7480769230769232,0.28,,,,
97,1897,0.5580769230769231,0.31,,,,
98,1898,0.39807692307692316,0.33,,,,
99,1899,0.20807692307692316,0.33,,,,
100,1900,0.4280769230769232,0.32,,,,
101,1901,0.40807692307692317,0.31,,,,
102,1902,0.4280769230769232,0.29,,,,
103,1903,0.23807692307692316,0.27,,,,
104,1904,0.07807692307692315,0.25,,,,
105,1905,-0.6319230769230769,0.22,,,,
106,1906,0.19807692307692315,0.18,,,,
107,1907,0.12807692307692314,0.15,,,,
108,1908,0.5480769230769231,0.11,,,,
109,1909,0.21807692307692317,0.09,,,,
110,1910,-0.07192307692307687,0.08,,,,
111,1911,-0.05192307692307685,0.07,,,,
112,1912,-0.04192307692307684,0.06,,,,
113,1913,-0.32192307692307687,0.05,,,,
114,1914,0.028076923076923166,0.04,,,,
115,1915,0.46807692307692317,0.05,,,,
116,1916,0.23807692307692316,0.07,,,,
117,1917,-0.45192307692307687,0.1,,,,
118,1918,-0.10192307692307678,0.13,,,,
119,1919,0.13807692307692315,0.15,,,,
120,1920,0.22807692307692318,0.16,,,,
121,1921,0.4780769230769232,0.17,,,,
122,1922,0.21807692307692317,0.17,,,,
123,1923,0.2880769230769232,0.18,,,,
124,1924,0.4780769230769232,0.2,,,,
125,1925,-0.29192307692307684,0.21,,,,
126,1926,0.08807692307692316,0.22,,,,
127,1927,-0.07192307692307687,0.22,,,,
128,1928,0.4980769230769232,0.21,,,,
129,1929,0.16807692307692318,0.2,,,,
130,1930,0.11807692307692319,0.19,,,,
131,1931,0.6080769230769232,0.18,,,,
132,1932,0.6080769230769232,0.18,,,,
133,1933,-0.11192307692307679,0.18,,,,
134,1934,0.1780769230769232,0.18,,,,
135,1935,0.09807692307692317,0.19,,,,
136,1936,-0.1319230769230768,0.2,,,,
137,1937,-0.04192307692307684,0.22,,,,
138,1938,0.14807692307692316,0.23,,,,
139,1939,0.4180769230769232,0.24,,,,
140,1940,0.30807692307692314,0.26,,,,
141,1941,1.0480769230769231,0.29,,,,
142,1942,0.6780769230769231,0.32,,,,
143,1943,0.3580769230769232,0.34,,,,
144,1944,0.05807692307692319,0.36,,,,
145,1945,-0.07192307692307687,0.37,,,,
146,1946,0.4880769230769232,0.39,,,,
147,1947,0.7580769230769231,0.4,,,,
148,1948,0.31807692307692315,0.42,,,,
149,1949,0.24807692307692317,0.44,,,,
150,1950,-0.0019230769230768052,0.45,,,,
151,1951,0.7280769230769232,0.47,,,,
152,1952,0.7480769230769232,0.48,,,,
153,1953,0.8880769230769232,0.5,,,,
154,1954,0.5580769230769231,0.52,,,,
155,1955,0.23807692307692316,0.53,,,,
156,1956,0.4180769230769232,0.53,,,,
157,1957,0.15807692307692317,0.52,,,,
158,1958,0.9580769230769232,0.5,,,,
159,1959,0.6880769230769231,0.48,,,,
160,1960,0.7580769230769231,0.46,,,,
161,1961,0.2880769230769232,0.45,,,,
162,1962,0.1780769230769232,0.44,,,,
163,1963,0.30807692307692314,0.43,,,,
164,1964,0.5680769230769231,0.41,,,,
165,1965,0.2880769230769232,0.38,,,,
166,1966,0.7880769230769231,0.37,,,,
167,1967,0.20807692307692316,0.36,,,,
168,1968,-0.021923076923076823,0.37,,,,
169,1969,0.6680769230769232,0.38,,,,
170,1970,0.29807692307692313,0.39,,,,
171,1971,-0.31192307692307686,0.39,,,,
172,1972,0.39807692307692316,0.4,,,,
173,1973,0.6480769230769232,0.42,,,,
174,1974,0.5280769230769231,0.44,,,,
175,1975,0.31807692307692315,0.46,,,,
176,1976,0.5280769230769231,0.47,,,,
177,1977,0.5180769230769232,0.48,,,,
178,1978,0.20807692307692316,0.49,,,,
179,1979,0.8480769230769232,0.5,,,,
180,1980,0.7480769230769232,0.52,,,,
181,1981,0.4180769230769232,0.54,,,,
182,1982,0.3680769230769232,0.56,,,,
183,1983,0.06807692307692315,0.58,,,,
184,1984,0.6680769230769232,0.58,,,,
185,1985,0.9680769230769232,0.59,,,,
186,1986,0.3580769230769232,0.58,,,,
187,1987,0.9280769230769232,0.59,,,,
188,1988,1.0480769230769231,0.6,,,,
189,1989,0.40807692307692317,0.62,,,,
190,1990,0.5280769230769231,0.63,,,,
191,1991,0.4780769230769232,0.64,,,,
192,1992,0.3780769230769232,0.65,,,,
193,1993,0.6080769230769232,0.68,,,,
194,1994,0.7780769230769231,0.71,,,,
195,1995,0.8080769230769231,0.74,,,,
196,1996,0.8180769230769231,0.78,,,,
197,1997,-0.011923076923076814,0.83,,,,
198,1998,0.9880769230769232,0.87,,,,
199,1999,1.3680769230769232,0.92,,,,
200,2000,0.6380769230769232,0.97,,,,
201,2001,1.0080769230769233,1.01,,,,
202,2002,1.0980769230769232,1.05,,,,
203,2003,0.9580769230769232,1.1,,,,
204,2004,1.0880769230769232,1.13,,,,
205,2005,1.248076923076923,1.16,0.9,0.94,0.96,0.93
206,2006,1.5480769230769234,1.16,0.94,0.97,0.99,0.96
207,2007,1.1780769230769232,1.16,0.97,1.0,1.01,0.99
208,2008,0.9980769230769232,1.16,1.0,1.02,1.04,1.02
209,2009,1.7180769230769233,1.15,1.04,1.05,1.07,1.05
210,2010,1.748076923076923,1.16,1.07,1.08,1.09,1.08
211,2011,0.8080769230769231,1.17,1.11,1.11,1.12,1.11
212,2012,0.9280769230769232,1.17,1.14,1.14,1.14,1.14
213,2013,0.7280769230769232,1.17,1.17,1.17,1.17,1.17
214,2014,1.0280769230769233,1.16,1.21,1.2,1.2,1.2
215,2015,1.1580769230769232,1.16,1.24,1.23,1.22,1.23
216,2016,1.748076923076923,1.15,1.28,1.26,1.25,1.26
217,2017,1.5980769230769232,1.15,1.31,1.29,1.28,1.29
218,2018,1.1480769230769232,1.15,1.35,1.33,1.3,1.33
219,2019,1.2180769230769233,1.15,1.38,1.36,1.33,1.36
220,2020,0.8180769230769231,1.15,1.42,1.39,1.36,1.4
221,2021,,,1.45,1.42,1.39,1.43
222,2022,,,1.49,1.45,1.42,1.47
223,2023,,,1.52,1.48,1.46,1.51
224,2024,,,1.55,1.51,1.49,1.55
225,2025,,,1.58,1.54,1.52,1.59
226,2026,,,1.61,1.57,1.55,1.63
227,2027,,,1.64,1.59,1.59,1.67
228,2028,,,1.67,1.62,1.63,1.7
229,2029,,,1.69,1.64,1.66,1.74
230,2030,,,1.72,1.67,1.7,1.78
231,2031,,,1.75,1.7,1.74,1.83
232,2032,,,1.77,1.73,1.78,1.87
233,2033,,,1.8,1.77,1.82,1.92
234,2034,,,1.83,1.8,1.86,1.96
235,2035,,,1.86,1.84,1.91,2.01
236,2036,,,1.89,1.88,1.95,2.07
237,2037,,,1.92,1.92,1.99,2.12
238,2038,,,1.95,1.96,2.03,2.18
239,2039,,,1.99,2.01,2.07,2.24
240,2040,,,2.02,2.05,2.12,2.3
241,2041,,,2.05,2.09,2.16,2.36
242,2042,,,2.08,2.13,2.21,2.43
243,2043,,,2.1,2.17,2.25,2.49
244,2044,,,2.13,2.21,2.29,2.56
245,2045,,,2.15,2.25,2.33,2.62
246,2046,,,2.18,2.29,2.38,2.69
247,2047,,,2.2,2.33,2.43,2.76
248,2048,,,2.22,2.37,2.47,2.83
249,2049,,,2.23,2.41,2.52,2.9
250,2050,,,2.24,2.44,2.56,2.96
251,2051,,,2.26,2.47,2.6,3.02
252,2052,,,2.27,2.51,2.65,3.08
253,2053,,,2.28,2.54,2.69,3.15
254,2054,,,2.3,2.58,2.74,3.21
255,2055,,,2.31,2.62,2.79,3.27
256,2056,,,2.32,2.65,2.84,3.32
257,2057,,,2.33,2.69,2.89,3.38
258,2058,,,2.34,2.72,2.95,3.45
259,2059,,,2.35,2.76,3.0,3.51
260,2060,,,2.36,2.79,3.06,3.57
261,2061,,,2.37,2.82,3.12,3.64
262,2062,,,2.38,2.85,3.17,3.7
