Nigeria,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.27812499999999996,-0.26,,,,
50,1850,-0.338125,-0.25,,,,
51,1851,-0.12812500000000004,-0.24,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,-0.218125,-0.06,,,,
76,1876,-0.13812499999999994,-0.05,,,,
77,1877,0.311875,-0.04,,,,
78,1878,0.431875,-0.02,,,,
79,1879,-0.28812499999999996,-0.01,,,,
80,1880,-0.15812499999999996,0.01,,,,
81,1881,0.26187499999999997,0.02,,,,
82,1882,-0.04812499999999997,0.03,,,,
83,1883,0.241875,0.04,,,,
84,1884,-0.078125,0.04,,,,
85,1885,-0.02812500000000001,0.04,,,,
86,1886,0.311875,0.04,,,,
87,1887,-0.22812500000000002,0.04,,,,
88,1888,0.161875,0.05,,,,
89,1889,0.06187500000000001,0.06,,,,
90,1890,-0.598125,0.08,,,,
91,1891,-0.04812499999999997,0.08,,,,
92,1892,0.111875,0.08,,,,
93,1893,0.15187499999999998,0.08,,,,
94,1894,0.241875,0.08,,,,
95,1895,0.46187500000000004,0.08,,,,
96,1896,-0.36812500000000004,0.08,,,,
97,1897,-0.018125000000000002,0.07,,,,
98,1898,-0.05812499999999998,0.03,,,,
99,1899,0.681875,-0.02,,,,
100,1900,0.19187500000000002,-0.08,,,,
101,1901,0.111875,-0.13,,,,
102,1902,-0.038124999999999964,-0.18,,,,
103,1903,-0.628125,-0.21,,,,
104,1904,-0.788125,-0.25,,,,
105,1905,-0.458125,-0.29,,,,
106,1906,-0.308125,-0.33,,,,
107,1907,-0.638125,-0.35,,,,
108,1908,-0.318125,-0.34,,,,
109,1909,-0.17812499999999998,-0.29,,,,
110,1910,-0.308125,-0.22,,,,
111,1911,-0.428125,-0.16,,,,
112,1912,-0.198125,-0.1,,,,
113,1913,0.381875,-0.04,,,,
114,1914,0.791875,0.01,,,,
115,1915,0.511875,0.05,,,,
116,1916,-0.08812500000000001,0.1,,,,
117,1917,0.46187500000000004,0.15,,,,
118,1918,-0.28812499999999996,0.2,,,,
119,1919,0.26187499999999997,0.22,,,,
120,1920,-0.348125,0.24,,,,
121,1921,0.251875,0.26,,,,
122,1922,0.441875,0.29,,,,
123,1923,0.251875,0.32,,,,
124,1924,0.511875,0.34,,,,
125,1925,0.12187500000000001,0.37,,,,
126,1926,0.581875,0.39,,,,
127,1927,0.441875,0.41,,,,
128,1928,0.411875,0.43,,,,
129,1929,0.03187499999999999,0.44,,,,
130,1930,0.601875,0.44,,,,
131,1931,1.111875,0.45,,,,
132,1932,0.431875,0.46,,,,
133,1933,0.651875,0.47,,,,
134,1934,0.201875,0.49,,,,
135,1935,0.491875,0.52,,,,
136,1936,0.441875,0.54,,,,
137,1937,0.531875,0.57,,,,
138,1938,0.7418750000000001,0.59,,,,
139,1939,0.46187500000000004,0.61,,,,
140,1940,0.7718750000000001,0.61,,,,
141,1941,1.251875,0.61,,,,
142,1942,1.051875,0.61,,,,
143,1943,0.46187500000000004,0.6,,,,
144,1944,0.711875,0.58,,,,
145,1945,0.421875,0.56,,,,
146,1946,0.39187500000000003,0.52,,,,
147,1947,0.711875,0.48,,,,
148,1948,0.181875,0.44,,,,
149,1949,0.641875,0.41,,,,
150,1950,0.251875,0.38,,,,
