Somalia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,0.07500000000000001,-0.05,,,,
83,1883,-0.044999999999999984,-0.03,,,,
84,1884,-0.15500000000000003,-0.02,,,,
85,1885,,,,,,
86,1886,0.195,0.0,,,,
87,1887,-0.22499999999999998,0.02,,,,
88,1888,0.185,0.03,,,,
89,1889,0.125,0.05,,,,
90,1890,-0.15500000000000003,0.06,,,,
91,1891,0.03500000000000003,0.08,,,,
92,1892,-0.034999999999999976,0.1,,,,
93,1893,0.08500000000000002,0.12,,,,
94,1894,0.17500000000000002,0.13,,,,
95,1895,0.20500000000000002,0.15,,,,
96,1896,0.275,0.17,,,,
97,1897,0.255,0.19,,,,
98,1898,0.265,0.2,,,,
99,1899,0.14500000000000002,0.21,,,,
100,1900,0.325,0.21,,,,
101,1901,0.185,0.2,,,,
102,1902,0.34500000000000003,0.19,,,,
103,1903,0.20500000000000002,0.17,,,,
104,1904,0.125,0.16,,,,
105,1905,0.215,0.15,,,,
106,1906,0.17500000000000002,0.14,,,,
107,1907,-0.17500000000000004,0.13,,,,
108,1908,-0.08499999999999996,0.13,,,,
109,1909,-0.024999999999999967,0.12,,,,
110,1910,0.545,0.12,,,,
111,1911,0.265,0.12,,,,
112,1912,-0.10499999999999998,0.13,,,,
113,1913,0.09500000000000003,0.14,,,,
114,1914,0.20500000000000002,0.15,,,,
115,1915,0.545,0.16,,,,
116,1916,0.07500000000000001,0.18,,,,
117,1917,0.065,0.19,,,,
118,1918,-0.024999999999999967,0.2,,,,
119,1919,0.455,0.21,,,,
120,1920,0.28500000000000003,0.22,,,,
121,1921,0.28500000000000003,0.23,,,,
122,1922,0.185,0.24,,,,
123,1923,0.025000000000000022,0.25,,,,
124,1924,0.41500000000000004,0.27,,,,
125,1925,0.195,0.28,,,,
126,1926,0.655,0.29,,,,
127,1927,0.065,0.29,,,,
128,1928,0.185,0.29,,,,
129,1929,0.585,0.29,,,,
130,1930,0.365,0.28,,,,
131,1931,0.535,0.28,,,,
132,1932,0.07500000000000001,0.27,,,,
133,1933,0.315,0.27,,,,
134,1934,0.17500000000000002,0.28,,,,
135,1935,0.195,0.29,,,,
136,1936,0.315,0.31,,,,
137,1937,-0.034999999999999976,0.33,,,,
138,1938,0.0050000000000000044,0.35,,,,
139,1939,0.265,0.37,,,,
140,1940,0.595,0.4,,,,
141,1941,0.6950000000000001,0.42,,,,
142,1942,0.595,0.44,,,,
143,1943,0.505,0.46,,,,
144,1944,0.595,0.48,,,,
145,1945,0.665,0.48,,,,
146,1946,0.445,0.48,,,,
147,1947,0.41500000000000004,0.47,,,,
148,1948,0.41500000000000004,0.45,,,,
149,1949,0.545,0.42,,,,
150,1950,0.135,0.39,,,,
151,1951,0.365,0.36,,,,
152,1952,0.455,0.34,,,,
153,1953,0.525,0.33,,,,
154,1954,0.245,0.33,,,,
155,1955,0.05499999999999999,0.33,,,,
156,1956,-0.044999999999999984,0.32,,,,
157,1957,0.125,0.3,,,,
158,1958,0.665,0.29,,,,
