Swaziland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,-0.3981818181818181,-0.26,,,,
58,1858,-0.04818181818181799,-0.23,,,,
59,1859,0.11181818181818198,-0.19,,,,
60,1860,-0.23818181818181805,-0.16,,,,
61,1861,-0.328181818181818,-0.13,,,,
62,1862,-0.408181818181818,-0.09,,,,
63,1863,-0.15818181818181798,-0.06,,,,
64,1864,-0.15818181818181798,-0.03,,,,
65,1865,0.34181818181818197,-0.01,,,,
66,1866,0.33181818181818196,0.02,,,,
67,1867,0.34181818181818197,0.04,,,,
68,1868,-0.018181818181818077,0.05,,,,
69,1869,0.311818181818182,0.07,,,,
70,1870,-0.038181818181817984,0.08,,,,
71,1871,-0.028181818181818086,0.08,,,,
72,1872,-0.008181818181818068,0.07,,,,
73,1873,,,,,,
74,1874,0.13181818181818195,0.05,,,,
75,1875,-0.19818181818181801,0.03,,,,
76,1876,-0.09818181818181804,0.02,,,,
77,1877,0.34181818181818197,0.01,,,,
78,1878,0.40181818181818196,-0.0,,,,
79,1879,-0.188181818181818,-0.01,,,,
80,1880,,,,,,
81,1881,-0.04818181818181799,-0.03,,,,
82,1882,-0.15818181818181798,-0.03,,,,
83,1883,0.041818181818181976,-0.03,,,,
84,1884,-0.25818181818181807,-0.03,,,,
85,1885,-0.10818181818181805,-0.03,,,,
86,1886,0.03181818181818197,-0.02,,,,
87,1887,-0.3981818181818181,-0.01,,,,
88,1888,0.11181818181818198,0.01,,,,
89,1889,0.551818181818182,0.04,,,,
90,1890,0.061818181818181994,0.06,,,,
91,1891,-0.07818181818181802,0.09,,,,
92,1892,0.351818181818182,0.11,,,,
93,1893,-0.028181818181818086,0.12,,,,
94,1894,-0.04818181818181799,0.13,,,,
95,1895,0.22181818181818197,0.12,,,,
96,1896,0.7318181818181819,0.11,,,,
97,1897,0.291818181818182,0.1,,,,
98,1898,-0.2681818181818181,0.09,,,,
99,1899,-0.038181818181817984,0.07,,,,
100,1900,0.541818181818182,0.05,,,,
101,1901,-0.08818181818181803,0.03,,,,
102,1902,-0.04818181818181799,0.0,,,,
103,1903,0.09181818181818197,-0.02,,,,
104,1904,-0.24818181818181806,-0.03,,,,
105,1905,-0.038181818181817984,-0.03,,,,
106,1906,-0.20818181818181802,-0.03,,,,
107,1907,-0.298181818181818,-0.01,,,,
108,1908,0.321818181818182,0.02,,,,
109,1909,0.801818181818182,0.05,,,,
110,1910,-0.638181818181818,0.08,,,,
111,1911,-0.308181818181818,0.1,,,,
112,1912,0.291818181818182,0.13,,,,
113,1913,0.481818181818182,0.15,,,,
114,1914,0.521818181818182,0.17,,,,
115,1915,0.10181818181818197,0.19,,,,
116,1916,0.21181818181818196,0.22,,,,
117,1917,-0.328181818181818,0.24,,,,
118,1918,0.051818181818181985,0.27,,,,
119,1919,0.311818181818182,0.28,,,,
120,1920,0.5018181818181819,0.29,,,,
121,1921,0.13181818181818195,0.31,,,,
122,1922,0.6118181818181819,0.33,,,,
123,1923,0.771818181818182,0.35,,,,
124,1924,-0.23818181818181805,0.37,,,,
125,1925,0.38181818181818195,0.38,,,,
126,1926,0.511818181818182,0.39,,,,
127,1927,0.431818181818182,0.39,,,,
128,1928,0.40181818181818196,0.39,,,,
129,1929,0.301818181818182,0.38,,,,
130,1930,0.041818181818181976,0.36,,,,
131,1931,0.541818181818182,0.35,,,,
132,1932,0.591818181818182,0.33,,,,
133,1933,0.37181818181818194,0.32,,,,
134,1934,0.521818181818182,0.32,,,,
135,1935,-0.24818181818181806,0.33,,,,
