Vietnam,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,-1.2448275862068965,-0.75,,,,
18,1818,-0.4248275862068966,-0.72,,,,
19,1819,-1.1748275862068966,-0.69,,,,
20,1820,-0.8548275862068966,-0.67,,,,
21,1821,-0.39482758620689656,-0.64,,,,
22,1822,-0.3048275862068965,-0.62,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.27482758620689657,-0.55,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,-0.3448275862068965,-0.35,,,,
34,1834,-0.3348275862068965,-0.34,,,,
35,1835,-1.1548275862068966,-0.34,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,-0.37482758620689655,-0.37,,,,
41,1841,-0.05482758620689654,-0.37,,,,
42,1842,-0.2048275862068965,-0.37,,,,
43,1843,-0.12482758620689655,-0.36,,,,
44,1844,-0.6548275862068966,-0.37,,,,
45,1845,-0.8248275862068966,-0.38,,,,
46,1846,-0.11482758620689654,-0.38,,,,
47,1847,-0.5548275862068965,-0.38,,,,
48,1848,-0.7348275862068967,-0.38,,,,
49,1849,-0.5948275862068966,-0.39,,,,
50,1850,-0.4048275862068966,-0.36,,,,
51,1851,-0.26482758620689656,-0.33,,,,
52,1852,-0.38482758620689655,-0.3,,,,
53,1853,0.17517241379310347,-0.28,,,,
54,1854,0.15517241379310345,-0.25,,,,
55,1855,-0.21482758620689651,-0.22,,,,
56,1856,-0.5348275862068965,-0.21,,,,
57,1857,,,,,,
58,1858,-0.10482758620689653,-0.18,,,,
59,1859,-0.024827586206896513,-0.17,,,,
60,1860,-0.15482758620689657,-0.15,,,,
61,1861,-0.3448275862068965,-0.13,,,,
62,1862,,,,,,
63,1863,-0.3248275862068965,-0.07,,,,
64,1864,-0.4248275862068966,-0.04,,,,
65,1865,0.25517241379310346,-0.01,,,,
66,1866,0.11517241379310345,0.02,,,,
67,1867,0.23517241379310347,0.05,,,,
68,1868,0.39517241379310347,0.09,,,,
69,1869,0.035172413793103485,0.12,,,,
70,1870,0.11517241379310345,0.14,,,,
71,1871,0.06517241379310346,0.15,,,,
72,1872,0.23517241379310347,0.15,,,,
73,1873,0.08517241379310347,0.15,,,,
74,1874,0.38517241379310346,0.15,,,,
75,1875,-0.024827586206896513,0.15,,,,
76,1876,-0.27482758620689657,0.13,,,,
77,1877,0.36517241379310345,0.11,,,,
78,1878,0.6551724137931034,0.08,,,,
79,1879,0.29517241379310344,0.04,,,,
80,1880,-0.08482758620689651,-0.01,,,,
81,1881,0.04517241379310344,-0.05,,,,
82,1882,-0.05482758620689654,-0.08,,,,
83,1883,-0.2848275862068966,-0.11,,,,
84,1884,-0.6048275862068966,-0.14,,,,
85,1885,-0.2848275862068966,-0.16,,,,
86,1886,-0.3048275862068965,-0.17,,,,
87,1887,-0.49482758620689654,-0.19,,,,
88,1888,0.025172413793103476,-0.19,,,,
89,1889,0.25517241379310346,-0.19,,,,
90,1890,0.015172413793103467,-0.17,,,,
91,1891,0.035172413793103485,-0.14,,,,
92,1892,-0.5848275862068966,-0.1,,,,
93,1893,-0.6648275862068966,-0.08,,,,
94,1894,-0.22482758620689652,-0.06,,,,
95,1895,-0.00482758620689655,-0.04,,,,
96,1896,0.015172413793103467,-0.02,,,,
97,1897,0.31517241379310346,0.01,,,,
98,1898,0.08517241379310347,0.04,,,,
99,1899,-0.09482758620689652,0.06,,,,
100,1900,0.23517241379310347,0.08,,,,
101,1901,0.15517241379310345,0.09,,,,
102,1902,0.6051724137931035,0.08,,,,
103,1903,-0.01482758620689656,0.07,,,,
104,1904,-0.14482758620689656,0.07,,,,
105,1905,0.035172413793103485,0.06,,,,
106,1906,0.20517241379310347,0.06,,,,
107,1907,-0.1748275862068966,0.05,,,,
108,1908,-0.1748275862068966,0.05,,,,
109,1909,0.17517241379310347,0.05,,,,
110,1910,0.035172413793103485,0.05,,,,
111,1911,0.30517241379310345,0.04,,,,
112,1912,0.11517241379310345,0.03,,,,
113,1913,-0.23482758620689653,0.01,,,,
114,1914,0.45517241379310347,0.0,,,,
115,1915,0.32517241379310347,-0.0,,,,
116,1916,-0.4648275862068965,-0.01,,,,
117,1917,-0.7248275862068967,-0.02,,,,
118,1918,-0.4548275862068965,-0.04,,,,
